Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/60.png?v=1658953354,33,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/63.png?v=1658953354,34,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/64.png?v=1658953354,35,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/65.png?v=1658953354,36,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/66.png?v=1658953354,37,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/69.png?v=1658953354,38,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/70.png?v=1658953354,39,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/71.png?v=1658953354,40,,,,,,,,,,,,,,,,,,,,,,,,
decorative-loom-embroidery-wall-hangers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/72.png?v=1658953354,41,,,,,,,,,,,,,,,,,,,,,,,,
amatenango-blouse,Amatenango Blouse,"<p>Short Sleeve Blouse with a laboreous Amatenango embroidery on the whole neck. The neck is round with a line A cut.  It ca be used from both sides. Perfect for warm climates , formal events and casual dressing. </p>
<p>Belt not included.                                                                                                                Fine Manta (100% Cotton) |<br></p>",Mercadito Mexicano,,"","",true,Estilo,Style #1,,,,,AB001,0.0,shopify,1,deny,manual,60.00,,true,true,"",https://cdn.shopify.com/s/files/1/0511/5274/8708/products/1_90e7a869-665b-414a-a34d-31ed443c70a1.png?v=1664838643,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0511/5274/8708/products/1_90e7a869-665b-414a-a34d-31ed443c70a1.png?v=1664838643,kg,,,,,active
